funcid,dim,milestone,error
9,30,2,2.703586e+04
9,30,3,1.769105e+04
9,30,5,1.769105e+04
9,30,10,1.769105e+04
9,30,20,1.502654e+04
9,30,30,1.073634e+04
9,30,40,8.076682e+03
9,30,50,7.742638e+03
9,30,60,6.682970e+03
9,30,70,5.987752e+03
9,30,80,4.803272e+03
9,30,90,4.803272e+03
9,30,100,4.507372e+03
9,30,1,2.675211e+04
9,30,2,2.675211e+04
9,30,3,2.318297e+04
9,30,5,2.232049e+04
9,30,10,1.434420e+04
9,30,20,1.434420e+04
9,30,30,1.038960e+04
9,30,40,7.875904e+03
9,30,50,7.838476e+03
9,30,60,7.497652e+03
9,30,70,7.497652e+03
9,30,80,7.497652e+03
9,30,90,7.450561e+03
9,30,100,5.745572e+03
9,30,1,2.700880e+04
9,30,2,1.823663e+04
9,30,3,1.823663e+04
9,30,5,1.823663e+04
9,30,10,1.823663e+04
9,30,20,1.656251e+04
9,30,30,1.397737e+04
9,30,40,9.065775e+03
9,30,50,8.004488e+03
9,30,60,7.334466e+03
9,30,70,7.334466e+03
9,30,80,6.597464e+03
9,30,90,6.597464e+03
9,30,100,6.597464e+03
9,30,1,2.509517e+04
9,30,2,2.278532e+04
9,30,3,2.278532e+04
9,30,5,2.278532e+04
9,30,10,2.228282e+04
9,30,20,2.228282e+04
9,30,30,1.250244e+04
9,30,40,8.092867e+03
9,30,50,6.249394e+03
9,30,60,6.249394e+03
9,30,70,6.063962e+03
9,30,80,4.338162e+03
9,30,90,2.826105e+03
9,30,100,2.826105e+03
9,30,1,1.722383e+04
9,30,2,1.722383e+04
9,30,3,1.722383e+04
9,30,5,1.722383e+04
9,30,10,1.722383e+04
9,30,20,1.352196e+04
9,30,30,1.352196e+04
9,30,40,1.352196e+04
9,30,50,1.191322e+04
9,30,60,7.587816e+03
9,30,70,7.587816e+03
9,30,80,7.587816e+03
9,30,90,6.901805e+03
9,30,100,6.901805e+03
9,30,1,2.850036e+04
9,30,2,2.850036e+04
9,30,3,2.850036e+04
9,30,5,2.829803e+04
9,30,10,2.111404e+04
9,30,20,1.296183e+04
9,30,30,1.123819e+04
9,30,40,8.830988e+03
9,30,50,8.830988e+03
9,30,60,7.553294e+03
9,30,70,5.470848e+03
9,30,80,4.283597e+03
9,30,90,4.283597e+03
9,30,100,4.283597e+03
9,30,1,3.925735e+04
9,30,2,1.815037e+04
9,30,3,1.815037e+04
9,30,5,1.815037e+04
9,30,10,1.815037e+04
9,30,20,1.424908e+04
9,30,30,1.424908e+04
9,30,40,1.260007e+04
9,30,50,5.079919e+03
9,30,60,4.310732e+03
9,30,70,3.130185e+03
9,30,80,3.130185e+03
9,30,90,3.130185e+03
9,30,100,2.677955e+03
9,30,1,2.934898e+04
9,30,2,2.934898e+04
9,30,3,2.912806e+04
9,30,5,2.471151e+04
9,30,10,2.471151e+04
9,30,20,1.065035e+04
9,30,30,1.040529e+04
9,30,40,6.829847e+03
9,30,50,5.565367e+03
9,30,60,5.084829e+03
9,30,70,5.084829e+03
9,30,80,4.822319e+03
9,30,90,4.370270e+03
9,30,100,4.370270e+03
9,30,1,2.657115e+04
9,30,2,2.657115e+04
9,30,3,2.657115e+04
9,30,5,2.657115e+04
9,30,10,1.932017e+04
9,30,20,1.575274e+04
9,30,30,9.798997e+03
9,30,40,8.694773e+03
9,30,50,8.570653e+03
9,30,60,6.846030e+03
9,30,70,6.293256e+03
9,30,80,6.293256e+03
9,30,90,6.293256e+03
9,30,100,6.064158e+03
9,30,1,2.987974e+04
9,30,2,2.294543e+04
9,30,3,2.294543e+04
9,30,5,2.095748e+04
9,30,10,1.950339e+04
9,30,20,1.101308e+04
9,30,30,1.101308e+04
9,30,40,1.101308e+04
9,30,50,9.396658e+03
9,30,60,6.286226e+03
9,30,70,4.601924e+03
9,30,80,4.388599e+03
9,30,90,4.388599e+03
9,30,100,4.062928e+03
9,30,1,2.703586e+04
9,30,2,2.703586e+04
9,30,3,1.769105e+04
9,30,5,1.769105e+04
9,30,10,1.769105e+04
9,30,20,1.502654e+04
9,30,30,1.073634e+04
9,30,40,8.076682e+03
9,30,50,7.742638e+03
9,30,60,6.682970e+03
9,30,70,5.987752e+03
9,30,80,4.803272e+03
9,30,90,4.803272e+03
9,30,100,4.507372e+03
9,30,1,2.675211e+04
9,30,2,2.675211e+04
9,30,3,2.318297e+04
9,30,5,2.232049e+04
9,30,10,1.434420e+04
9,30,20,1.434420e+04
9,30,30,1.038960e+04
9,30,40,7.875904e+03
9,30,50,7.838476e+03
9,30,60,7.497652e+03
9,30,70,7.497652e+03
9,30,80,7.497652e+03
9,30,90,7.450561e+03
9,30,100,5.745572e+03
9,30,1,2.700880e+04
9,30,2,1.823663e+04
9,30,3,1.823663e+04
9,30,5,1.823663e+04
9,30,10,1.823663e+04
9,30,20,1.656251e+04
9,30,30,1.397737e+04
9,30,40,9.065775e+03
9,30,50,8.004488e+03
9,30,60,7.334466e+03
9,30,70,7.334466e+03
9,30,80,6.597464e+03
9,30,90,6.597464e+03
9,30,100,6.597464e+03
9,30,1,2.509517e+04
9,30,2,2.278532e+04
9,30,3,2.278532e+04
9,30,5,2.278532e+04
9,30,10,2.228282e+04
9,30,20,2.228282e+04
9,30,30,1.250244e+04
9,30,40,8.092867e+03
9,30,50,6.249394e+03
9,30,60,6.249394e+03
9,30,70,6.063962e+03
9,30,80,4.338162e+03
9,30,90,2.826105e+03
9,30,100,2.826105e+03
9,30,1,1.722383e+04
9,30,2,1.722383e+04
9,30,3,1.722383e+04
9,30,5,1.722383e+04
9,30,10,1.722383e+04
9,30,20,1.352196e+04
9,30,30,1.352196e+04
9,30,40,1.352196e+04
9,30,50,1.191322e+04
9,30,60,7.587816e+03
9,30,70,7.587816e+03
9,30,80,7.587816e+03
9,30,90,6.901805e+03
9,30,100,6.901805e+03
9,30,1,2.850036e+04
9,30,2,2.850036e+04
9,30,3,2.850036e+04
9,30,5,2.829803e+04
9,30,10,2.111404e+04
9,30,20,1.296183e+04
9,30,30,1.123819e+04
9,30,40,8.830988e+03
9,30,50,8.830988e+03
9,30,60,7.553294e+03
9,30,70,5.470848e+03
9,30,80,4.283597e+03
9,30,90,4.283597e+03
9,30,100,4.283597e+03
9,30,1,3.925735e+04
9,30,2,1.815037e+04
9,30,3,1.815037e+04
9,30,5,1.815037e+04
9,30,10,1.815037e+04
9,30,20,1.424908e+04
9,30,30,1.424908e+04
9,30,40,1.260007e+04
9,30,50,5.079919e+03
9,30,60,4.310732e+03
9,30,70,3.130185e+03
9,30,80,3.130185e+03
9,30,90,3.130185e+03
9,30,100,2.677955e+03
9,30,1,2.934898e+04
9,30,2,2.934898e+04
9,30,3,2.912806e+04
9,30,5,2.471151e+04
9,30,10,2.471151e+04
9,30,20,1.065035e+04
9,30,30,1.040529e+04
9,30,40,6.829847e+03
9,30,50,5.565367e+03
9,30,60,5.084829e+03
9,30,70,5.084829e+03
9,30,80,4.822319e+03
9,30,90,4.370270e+03
9,30,100,4.370270e+03
9,30,1,2.657115e+04
9,30,2,2.657115e+04
9,30,3,2.657115e+04
9,30,5,2.657115e+04
9,30,10,1.932017e+04
9,30,20,1.575274e+04
9,30,30,9.798997e+03
9,30,40,8.694773e+03
9,30,50,8.570653e+03
9,30,60,6.846030e+03
9,30,70,6.293256e+03
9,30,80,6.293256e+03
9,30,90,6.293256e+03
9,30,100,6.064158e+03
9,30,1,2.987974e+04
9,30,2,2.294543e+04
9,30,3,2.294543e+04
9,30,5,2.095748e+04
9,30,10,1.950339e+04
9,30,20,1.101308e+04
9,30,30,1.101308e+04
9,30,40,1.101308e+04
9,30,50,9.396658e+03
9,30,60,6.286226e+03
9,30,70,4.601924e+03
9,30,80,4.388599e+03
9,30,90,4.388599e+03
9,30,100,4.062928e+03
9,30,1,2.703586e+04
9,30,2,2.703586e+04
9,30,3,1.769105e+04
9,30,5,1.769105e+04
9,30,10,1.769105e+04
9,30,20,1.502654e+04
9,30,30,1.073634e+04
9,30,40,8.076682e+03
9,30,50,7.742638e+03
9,30,60,6.682970e+03
9,30,70,5.987752e+03
9,30,80,4.803272e+03
9,30,90,4.803272e+03
9,30,100,4.507372e+03
9,30,1,2.675211e+04
9,30,2,2.675211e+04
9,30,3,2.318297e+04
9,30,5,2.232049e+04
9,30,10,1.434420e+04
9,30,20,1.434420e+04
9,30,30,1.038960e+04
9,30,40,7.875904e+03
9,30,50,7.838476e+03
9,30,60,7.497652e+03
9,30,70,7.497652e+03
9,30,80,7.497652e+03
9,30,90,7.450561e+03
9,30,100,5.745572e+03
9,30,1,2.700880e+04
9,30,2,1.823663e+04
9,30,3,1.823663e+04
9,30,5,1.823663e+04
9,30,10,1.823663e+04
9,30,20,1.656251e+04
9,30,30,1.397737e+04
9,30,40,9.065775e+03
9,30,50,8.004488e+03
9,30,60,7.334466e+03
9,30,70,7.334466e+03
9,30,80,6.597464e+03
9,30,90,6.597464e+03
9,30,100,6.597464e+03
9,30,1,2.509517e+04
9,30,2,2.278532e+04
9,30,3,2.278532e+04
9,30,5,2.278532e+04
9,30,10,2.228282e+04
9,30,20,2.228282e+04
9,30,30,1.250244e+04
9,30,40,8.092867e+03
9,30,50,6.249394e+03
9,30,60,6.249394e+03
9,30,70,6.063962e+03
9,30,80,4.338162e+03
9,30,90,2.826105e+03
9,30,100,2.826105e+03
9,30,1,1.722383e+04
9,30,2,1.722383e+04
9,30,3,1.722383e+04
9,30,5,1.722383e+04
9,30,10,1.722383e+04
9,30,20,1.352196e+04
9,30,30,1.352196e+04
9,30,40,1.352196e+04
9,30,50,1.191322e+04
9,30,60,7.587816e+03
9,30,70,7.587816e+03
9,30,80,7.587816e+03
9,30,90,6.901805e+03
9,30,100,6.901805e+03
