funcid,dim,milestone,error
26,30,10,6.484493e+03
26,30,20,6.484493e+03
26,30,30,5.625125e+03
26,30,40,5.625125e+03
26,30,50,5.191433e+03
26,30,60,4.752481e+03
26,30,70,4.463101e+03
26,30,80,4.444345e+03
26,30,90,4.407220e+03
26,30,100,4.247206e+03
26,30,1,6.592411e+03
26,30,2,6.592411e+03
26,30,3,6.592411e+03
26,30,5,6.592411e+03
26,30,10,6.592411e+03
26,30,20,6.031761e+03
26,30,30,5.740312e+03
26,30,40,5.684406e+03
26,30,50,5.067313e+03
26,30,60,5.037600e+03
26,30,70,5.020534e+03
26,30,80,5.020534e+03
26,30,90,4.748461e+03
26,30,100,4.748461e+03
26,30,1,7.256626e+03
26,30,2,7.250145e+03
26,30,3,6.980252e+03
26,30,5,6.368496e+03
26,30,10,6.368496e+03
26,30,20,4.946399e+03
26,30,30,4.946399e+03
26,30,40,4.869536e+03
26,30,50,4.472257e+03
26,30,60,4.472257e+03
26,30,70,4.472257e+03
26,30,80,4.472257e+03
26,30,90,4.463740e+03
26,30,100,4.463740e+03
26,30,1,7.879930e+03
26,30,2,7.540247e+03
26,30,3,7.356532e+03
26,30,5,7.188168e+03
26,30,10,7.188168e+03
26,30,20,5.566931e+03
26,30,30,5.566931e+03
26,30,40,5.566931e+03
26,30,50,5.566931e+03
26,30,60,5.346739e+03
26,30,70,5.287038e+03
26,30,80,5.287038e+03
26,30,90,5.287038e+03
26,30,100,5.287038e+03
26,30,1,8.689713e+03
26,30,2,8.509258e+03
26,30,3,6.190180e+03
26,30,5,5.294427e+03
26,30,10,5.294427e+03
26,30,20,5.294427e+03
26,30,30,5.294427e+03
26,30,40,4.791535e+03
26,30,50,4.791535e+03
26,30,60,4.791535e+03
26,30,70,4.568892e+03
26,30,80,4.568892e+03
26,30,90,4.568892e+03
26,30,100,4.568892e+03
26,30,1,7.556068e+03
26,30,2,7.054929e+03
26,30,3,6.437268e+03
26,30,5,6.437268e+03
26,30,10,6.249163e+03
26,30,20,5.572416e+03
26,30,30,5.572416e+03
26,30,40,5.252401e+03
26,30,50,5.252401e+03
26,30,60,4.380956e+03
26,30,70,4.130333e+03
26,30,80,4.130333e+03
26,30,90,4.130333e+03
26,30,100,4.130333e+03
26,30,1,8.363472e+03
26,30,2,6.820963e+03
26,30,3,6.820963e+03
26,30,5,6.540324e+03
26,30,10,5.932666e+03
26,30,20,5.598793e+03
26,30,30,5.469527e+03
26,30,40,5.469527e+03
26,30,50,4.852390e+03
26,30,60,4.743054e+03
26,30,70,4.646282e+03
26,30,80,4.306103e+03
26,30,90,4.306103e+03
26,30,100,4.306103e+03
26,30,1,7.918484e+03
26,30,2,7.918484e+03
26,30,3,7.373144e+03
26,30,5,6.725685e+03
26,30,10,5.670433e+03
26,30,20,5.670433e+03
26,30,30,5.381112e+03
26,30,40,4.881130e+03
26,30,50,4.685488e+03
26,30,60,4.685488e+03
26,30,70,4.685488e+03
26,30,80,4.592985e+03
26,30,90,4.592985e+03
26,30,100,4.592985e+03
26,30,1,6.729932e+03
26,30,2,6.729932e+03
26,30,3,6.494678e+03
26,30,5,6.494678e+03
26,30,10,5.910046e+03
26,30,20,5.869800e+03
26,30,30,5.535269e+03
26,30,40,5.037562e+03
26,30,50,5.037562e+03
26,30,60,4.690657e+03
26,30,70,4.589863e+03
26,30,80,4.589863e+03
26,30,90,4.581159e+03
26,30,100,4.581159e+03
26,30,1,8.356919e+03
26,30,2,8.300493e+03
26,30,3,8.095852e+03
26,30,5,7.152839e+03
26,30,10,6.162468e+03
26,30,20,5.504772e+03
26,30,30,5.504772e+03
26,30,40,5.504772e+03
26,30,50,5.221703e+03
26,30,60,4.576133e+03
26,30,70,4.576133e+03
26,30,80,4.576133e+03
26,30,90,4.576133e+03
26,30,100,4.576133e+03
26,30,1,7.923520e+03
26,30,2,7.828493e+03
26,30,3,6.484493e+03
26,30,5,6.484493e+03
26,30,10,6.484493e+03
26,30,20,6.484493e+03
26,30,30,5.625125e+03
26,30,40,5.625125e+03
26,30,50,5.191433e+03
26,30,60,4.752481e+03
26,30,70,4.463101e+03
26,30,80,4.444345e+03
26,30,90,4.407220e+03
26,30,100,4.247206e+03
26,30,1,6.592411e+03
26,30,2,6.592411e+03
26,30,3,6.592411e+03
26,30,5,6.592411e+03
26,30,10,6.592411e+03
26,30,20,6.031761e+03
26,30,30,5.740312e+03
26,30,40,5.684406e+03
26,30,50,5.067313e+03
26,30,60,5.037600e+03
26,30,70,5.020534e+03
26,30,80,5.020534e+03
26,30,90,4.748461e+03
26,30,100,4.748461e+03
26,30,1,7.256626e+03
26,30,2,7.250145e+03
26,30,3,6.980252e+03
26,30,5,6.368496e+03
26,30,10,6.368496e+03
26,30,20,4.946399e+03
26,30,30,4.946399e+03
26,30,40,4.869536e+03
26,30,50,4.472257e+03
26,30,60,4.472257e+03
26,30,70,4.472257e+03
26,30,80,4.472257e+03
26,30,90,4.463740e+03
26,30,100,4.463740e+03
26,30,1,7.879930e+03
26,30,2,7.540247e+03
26,30,3,7.356532e+03
26,30,5,7.188168e+03
26,30,10,7.188168e+03
26,30,20,5.566931e+03
26,30,30,5.566931e+03
26,30,40,5.566931e+03
26,30,50,5.566931e+03
26,30,60,5.346739e+03
26,30,70,5.287038e+03
26,30,80,5.287038e+03
26,30,90,5.287038e+03
26,30,100,5.287038e+03
26,30,1,8.689713e+03
26,30,2,8.509258e+03
26,30,3,6.190180e+03
26,30,5,5.294427e+03
26,30,10,5.294427e+03
26,30,20,5.294427e+03
26,30,30,5.294427e+03
26,30,40,4.791535e+03
26,30,50,4.791535e+03
26,30,60,4.791535e+03
26,30,70,4.568892e+03
26,30,80,4.568892e+03
26,30,90,4.568892e+03
26,30,100,4.568892e+03
