funcid,dim,milestone,error
25,10,50,4.963890e+02
25,10,60,4.761160e+02
25,10,70,4.714647e+02
25,10,80,4.637955e+02
25,10,90,4.634835e+02
25,10,100,4.488538e+02
25,10,1,8.883670e+02
25,10,2,7.160909e+02
25,10,3,6.873146e+02
25,10,5,6.839410e+02
25,10,10,6.120415e+02
25,10,20,5.533154e+02
25,10,30,5.533154e+02
25,10,40,5.055363e+02
25,10,50,4.930200e+02
25,10,60,4.758961e+02
25,10,70,4.758961e+02
25,10,80,4.667892e+02
25,10,90,4.667892e+02
25,10,100,4.667892e+02
25,10,1,8.556709e+02
25,10,2,7.414154e+02
25,10,3,7.414154e+02
25,10,5,7.414154e+02
25,10,10,5.893140e+02
25,10,20,5.813319e+02
25,10,30,5.372790e+02
25,10,40,4.908721e+02
25,10,50,4.670350e+02
25,10,60,4.670350e+02
25,10,70,4.623531e+02
25,10,80,4.455591e+02
25,10,90,4.455591e+02
25,10,100,4.455591e+02
25,10,1,9.365870e+02
25,10,2,6.679943e+02
25,10,3,6.000581e+02
25,10,5,6.000581e+02
25,10,10,6.000581e+02
25,10,20,5.222841e+02
25,10,30,4.827797e+02
25,10,40,4.766158e+02
25,10,50,4.766158e+02
25,10,60,4.720982e+02
25,10,70,4.689816e+02
25,10,80,4.607878e+02
25,10,90,4.607878e+02
25,10,100,4.607878e+02
25,10,1,1.014233e+03
25,10,2,9.643965e+02
25,10,3,7.238530e+02
25,10,5,6.935463e+02
25,10,10,6.935463e+02
25,10,20,5.615637e+02
25,10,30,5.582990e+02
25,10,40,5.203852e+02
25,10,50,5.203852e+02
25,10,60,4.753673e+02
25,10,70,4.753673e+02
25,10,80,4.657396e+02
25,10,90,4.370056e+02
25,10,100,4.370056e+02
25,10,1,1.039492e+03
25,10,2,8.180968e+02
25,10,3,8.180968e+02
25,10,5,8.180968e+02
25,10,10,6.323528e+02
25,10,20,5.608932e+02
25,10,30,5.124092e+02
25,10,40,5.057467e+02
25,10,50,4.833647e+02
25,10,60,4.670771e+02
25,10,70,4.587273e+02
25,10,80,4.587273e+02
25,10,90,4.587273e+02
25,10,100,4.587273e+02
25,10,1,8.140836e+02
25,10,2,7.971372e+02
25,10,3,6.373255e+02
25,10,5,6.015916e+02
25,10,10,6.015916e+02
25,10,20,5.839284e+02
25,10,30,5.034089e+02
25,10,40,4.605255e+02
25,10,50,4.586402e+02
25,10,60,4.372587e+02
25,10,70,4.372587e+02
25,10,80,4.372587e+02
25,10,90,4.372587e+02
25,10,100,4.372587e+02
25,10,1,9.517002e+02
25,10,2,8.096727e+02
25,10,3,7.646233e+02
25,10,5,7.646233e+02
25,10,10,5.554140e+02
25,10,20,5.554140e+02
25,10,30,5.482109e+02
25,10,40,4.905865e+02
25,10,50,4.746073e+02
25,10,60,4.746073e+02
25,10,70,4.746073e+02
25,10,80,4.746073e+02
25,10,90,4.696806e+02
25,10,100,4.696806e+02
25,10,1,7.388343e+02
25,10,2,6.677668e+02
25,10,3,6.677668e+02
25,10,5,6.433616e+02
25,10,10,6.433616e+02
25,10,20,5.283495e+02
25,10,30,5.283495e+02
25,10,40,5.251689e+02
25,10,50,4.956186e+02
25,10,60,4.442777e+02
25,10,70,4.431940e+02
25,10,80,4.431940e+02
25,10,90,4.431940e+02
25,10,100,4.431940e+02
25,10,1,5.852754e+02
25,10,2,5.852754e+02
25,10,3,5.852754e+02
25,10,5,5.852754e+02
25,10,10,5.708672e+02
25,10,20,5.708672e+02
25,10,30,5.676342e+02
25,10,40,5.180969e+02
25,10,50,4.738488e+02
25,10,60,4.738488e+02
25,10,70,4.719483e+02
25,10,80,4.706629e+02
25,10,90,4.692760e+02
25,10,100,4.692760e+02
25,10,1,7.498679e+02
25,10,2,7.498679e+02
25,10,3,7.498679e+02
25,10,5,5.538427e+02
25,10,10,5.483103e+02
25,10,20,5.466931e+02
25,10,30,5.357086e+02
25,10,40,5.054401e+02
25,10,50,4.963890e+02
25,10,60,4.761160e+02
25,10,70,4.714647e+02
25,10,80,4.637955e+02
25,10,90,4.634835e+02
25,10,100,4.488538e+02
25,10,1,8.883670e+02
25,10,2,7.160909e+02
25,10,3,6.873146e+02
25,10,5,6.839410e+02
25,10,10,6.120415e+02
25,10,20,5.533154e+02
25,10,30,5.533154e+02
25,10,40,5.055363e+02
25,10,50,4.930200e+02
25,10,60,4.758961e+02
25,10,70,4.758961e+02
25,10,80,4.667892e+02
25,10,90,4.667892e+02
25,10,100,4.667892e+02
25,10,1,8.556709e+02
25,10,2,7.414154e+02
25,10,3,7.414154e+02
25,10,5,7.414154e+02
25,10,10,5.893140e+02
25,10,20,5.813319e+02
25,10,30,5.372790e+02
25,10,40,4.908721e+02
25,10,50,4.670350e+02
25,10,60,4.670350e+02
25,10,70,4.623531e+02
25,10,80,4.455591e+02
25,10,90,4.455591e+02
25,10,100,4.455591e+02
25,10,1,9.365870e+02
25,10,2,6.679943e+02
25,10,3,6.000581e+02
25,10,5,6.000581e+02
25,10,10,6.000581e+02
25,10,20,5.222841e+02
25,10,30,4.827797e+02
25,10,40,4.766158e+02
25,10,50,4.766158e+02
25,10,60,4.720982e+02
25,10,70,4.689816e+02
25,10,80,4.607878e+02
25,10,90,4.607878e+02
25,10,100,4.607878e+02
25,10,1,1.014233e+03
25,10,2,9.643965e+02
25,10,3,7.238530e+02
25,10,5,6.935463e+02
25,10,10,6.935463e+02
25,10,20,5.615637e+02
25,10,30,5.582990e+02
25,10,40,5.203852e+02
25,10,50,5.203852e+02
25,10,60,4.753673e+02
25,10,70,4.753673e+02
25,10,80,4.657396e+02
25,10,90,4.370056e+02
25,10,100,4.370056e+02
25,10,1,1.039492e+03
25,10,2,8.180968e+02
25,10,3,8.180968e+02
25,10,5,8.180968e+02
25,10,10,6.323528e+02
25,10,20,5.608932e+02
25,10,30,5.124092e+02
25,10,40,5.057467e+02
25,10,50,4.833647e+02
25,10,60,4.670771e+02
25,10,70,4.587273e+02
25,10,80,4.587273e+02
25,10,90,4.587273e+02
25,10,100,4.587273e+02
25,10,1,8.140836e+02
25,10,2,7.971372e+02
25,10,3,6.373255e+02
25,10,5,6.015916e+02
25,10,10,6.015916e+02
25,10,20,5.839284e+02
25,10,30,5.034089e+02
25,10,40,4.605255e+02
25,10,50,4.586402e+02
25,10,60,4.372587e+02
25,10,70,4.372587e+02
25,10,80,4.372587e+02
25,10,90,4.372587e+02
25,10,100,4.372587e+02
25,10,1,9.517002e+02
25,10,2,8.096727e+02
25,10,3,7.646233e+02
25,10,5,7.646233e+02
25,10,10,5.554140e+02
25,10,20,5.554140e+02
25,10,30,5.482109e+02
25,10,40,4.905865e+02
25,10,50,4.746073e+02
25,10,60,4.746073e+02
25,10,70,4.746073e+02
25,10,80,4.746073e+02
25,10,90,4.696806e+02
25,10,100,4.696806e+02
25,10,1,7.388343e+02
25,10,2,6.677668e+02
25,10,3,6.677668e+02
25,10,5,6.433616e+02
25,10,10,6.433616e+02
25,10,20,5.283495e+02
25,10,30,5.283495e+02
25,10,40,5.251689e+02
25,10,50,4.956186e+02
25,10,60,4.442777e+02
25,10,70,4.431940e+02
25,10,80,4.431940e+02
25,10,90,4.431940e+02
25,10,100,4.431940e+02
