funcid,dim,milestone,error
11,30,1,3.790047e+02
11,30,2,3.358722e+02
11,30,3,3.277874e+02
11,30,5,3.236448e+02
11,30,10,3.222581e+02
11,30,20,3.218957e+02
11,30,30,3.216650e+02
11,30,40,3.216150e+02
11,30,50,3.216056e+02
11,30,60,3.216027e+02
11,30,70,3.215982e+02
11,30,80,3.215869e+02
11,30,90,3.215854e+02
11,30,100,3.215818e+02
11,30,1,3.539348e+02
11,30,2,3.083336e+02
11,30,3,3.045179e+02
11,30,5,3.039816e+02
11,30,10,3.038244e+02
11,30,20,3.037703e+02
11,30,30,3.037524e+02
11,30,40,3.037438e+02
11,30,50,3.037406e+02
11,30,60,3.037392e+02
11,30,70,3.037384e+02
11,30,80,3.037380e+02
11,30,90,3.037378e+02
11,30,100,3.037377e+02
11,30,1,3.965203e+02
11,30,2,2.862808e+02
11,30,3,2.804628e+02
11,30,5,2.786712e+02
11,30,10,2.774332e+02
11,30,20,2.731889e+02
11,30,30,2.631326e+02
11,30,40,2.573447e+02
11,30,50,2.561846e+02
11,30,60,2.560400e+02
11,30,70,2.560053e+02
11,30,80,2.559930e+02
11,30,90,2.559878e+02
11,30,100,2.559857e+02
11,30,1,6.198880e+02
11,30,2,3.837089e+02
11,30,3,3.405435e+02
11,30,5,3.322564e+02
11,30,10,3.321002e+02
11,30,20,3.318779e+02
11,30,30,3.317321e+02
11,30,40,3.316358e+02
11,30,50,3.315677e+02
11,30,60,3.315168e+02
11,30,70,3.314798e+02
11,30,80,3.314511e+02
11,30,90,3.314280e+02
11,30,100,3.314093e+02
11,30,1,2.285693e+02
11,30,2,1.892519e+02
11,30,3,1.817822e+02
11,30,5,1.802321e+02
11,30,10,1.801017e+02
11,30,20,1.800742e+02
11,30,30,1.800477e+02
11,30,40,1.800231e+02
11,30,50,1.799931e+02
11,30,60,1.799721e+02
11,30,70,1.799553e+02
11,30,80,1.799353e+02
11,30,90,1.799166e+02
11,30,100,1.798989e+02
11,30,1,2.981107e+02
11,30,2,2.578752e+02
11,30,3,2.282277e+02
11,30,5,1.954922e+02
11,30,10,1.329922e+02
11,30,20,1.306740e+02
11,30,30,1.300751e+02
11,30,40,1.295773e+02
11,30,50,1.292117e+02
11,30,60,1.289586e+02
11,30,70,1.287983e+02
11,30,80,1.286932e+02
11,30,90,1.286228e+02
11,30,100,1.285712e+02
11,30,1,2.927320e+02
11,30,2,2.668604e+02
11,30,3,2.649403e+02
11,30,5,2.642458e+02
11,30,10,2.640284e+02
11,30,20,2.639824e+02
11,30,30,2.639483e+02
11,30,40,2.639179e+02
11,30,50,2.638935e+02
11,30,60,2.638623e+02
11,30,70,2.638350e+02
11,30,80,2.638129e+02
11,30,90,2.637876e+02
11,30,100,2.637647e+02
11,30,1,3.396771e+02
11,30,2,2.599470e+02
11,30,3,2.260255e+02
11,30,5,2.219008e+02
11,30,10,2.216052e+02
11,30,20,2.211018e+02
11,30,30,2.207318e+02
11,30,40,2.204838e+02
11,30,50,2.203278e+02
11,30,60,2.202240e+02
11,30,70,2.201530e+02
11,30,80,2.201006e+02
11,30,90,2.200597e+02
11,30,100,2.200277e+02
11,30,1,6.114945e+02
11,30,2,4.688644e+02
11,30,3,4.015620e+02
11,30,5,3.749458e+02
11,30,10,3.747274e+02
11,30,20,3.747144e+02
11,30,30,3.747094e+02
11,30,40,3.747004e+02
11,30,50,3.746990e+02
11,30,60,3.746984e+02
11,30,70,3.746950e+02
11,30,80,3.746939e+02
11,30,90,3.746932e+02
11,30,100,3.746927e+02
11,30,1,2.929390e+02
11,30,2,2.344739e+02
11,30,3,2.328809e+02
11,30,5,2.327488e+02
11,30,10,2.326001e+02
11,30,20,2.323853e+02
11,30,30,2.322383e+02
11,30,40,2.321434e+02
11,30,50,2.320757e+02
11,30,60,2.320260e+02
11,30,70,2.319878e+02
11,30,80,2.319583e+02
11,30,90,2.319361e+02
11,30,100,2.319180e+02
11,30,1,3.790047e+02
11,30,2,3.358722e+02
11,30,3,3.277874e+02
11,30,5,3.236448e+02
11,30,10,3.222581e+02
11,30,20,3.218957e+02
11,30,30,3.216650e+02
11,30,40,3.216150e+02
11,30,50,3.216056e+02
11,30,60,3.216027e+02
11,30,70,3.215982e+02
11,30,80,3.215869e+02
11,30,90,3.215854e+02
11,30,100,3.215818e+02
11,30,1,3.539348e+02
11,30,2,3.083336e+02
11,30,3,3.045179e+02
11,30,5,3.039816e+02
11,30,10,3.038244e+02
11,30,20,3.037703e+02
11,30,30,3.037524e+02
11,30,40,3.037438e+02
11,30,50,3.037406e+02
11,30,60,3.037392e+02
11,30,70,3.037384e+02
11,30,80,3.037380e+02
11,30,90,3.037378e+02
11,30,100,3.037377e+02
