funcid,dim,milestone,error
5,30,1,4.975027e+02
5,30,2,4.904185e+02
5,30,3,4.904185e+02
5,30,5,4.694751e+02
5,30,10,4.304467e+02
5,30,20,4.304467e+02
5,30,30,4.087001e+02
5,30,40,3.470386e+02
5,30,50,3.470386e+02
5,30,60,3.240420e+02
5,30,70,3.012615e+02
5,30,80,2.954615e+02
5,30,90,2.845757e+02
5,30,100,2.510299e+02
5,30,1,6.150199e+02
5,30,2,6.150199e+02
5,30,3,4.568623e+02
5,30,5,4.568623e+02
5,30,10,4.534658e+02
5,30,20,4.356704e+02
5,30,30,4.094958e+02
5,30,40,3.340171e+02
5,30,50,3.241174e+02
5,30,60,3.241174e+02
5,30,70,2.940365e+02
5,30,80,2.940365e+02
5,30,90,2.908495e+02
5,30,100,2.908495e+02
5,30,1,6.161334e+02
5,30,2,5.345185e+02
5,30,3,5.345185e+02
5,30,5,5.000184e+02
5,30,10,5.000184e+02
5,30,20,4.120400e+02
5,30,30,3.573881e+02
5,30,40,3.221365e+02
5,30,50,3.221365e+02
5,30,60,3.221365e+02
5,30,70,3.169016e+02
5,30,80,3.162495e+02
5,30,90,3.162495e+02
5,30,100,3.162495e+02
5,30,1,5.643116e+02
5,30,2,4.745698e+02
5,30,3,4.745698e+02
5,30,5,4.696996e+02
5,30,10,4.320951e+02
5,30,20,3.974456e+02
5,30,30,3.650425e+02
5,30,40,3.375829e+02
5,30,50,3.375829e+02
5,30,60,2.761718e+02
5,30,70,2.761718e+02
5,30,80,2.761718e+02
5,30,90,2.761718e+02
5,30,100,2.761718e+02
5,30,1,6.042172e+02
5,30,2,5.400887e+02
5,30,3,4.766260e+02
5,30,5,4.766260e+02
5,30,10,4.359774e+02
5,30,20,4.282243e+02
5,30,30,3.988958e+02
5,30,40,3.988958e+02
5,30,50,3.303687e+02
5,30,60,3.303687e+02
5,30,70,2.690759e+02
5,30,80,2.690759e+02
5,30,90,2.690759e+02
5,30,100,2.690759e+02
5,30,1,5.502433e+02
5,30,2,5.111190e+02
5,30,3,5.088003e+02
5,30,5,4.600620e+02
5,30,10,4.600620e+02
5,30,20,3.866932e+02
5,30,30,2.901977e+02
5,30,40,2.901977e+02
5,30,50,2.885305e+02
5,30,60,2.885305e+02
5,30,70,2.885305e+02
5,30,80,2.885305e+02
5,30,90,2.859207e+02
5,30,100,2.859207e+02
5,30,1,5.487347e+02
5,30,2,5.280286e+02
5,30,3,5.280286e+02
5,30,5,4.046502e+02
5,30,10,4.046502e+02
5,30,20,3.945695e+02
5,30,30,3.453517e+02
5,30,40,2.908260e+02
5,30,50,2.906521e+02
5,30,60,2.707276e+02
5,30,70,2.707276e+02
5,30,80,2.707276e+02
5,30,90,2.707276e+02
5,30,100,2.707276e+02
5,30,1,5.547918e+02
5,30,2,5.020221e+02
5,30,3,5.020221e+02
5,30,5,4.946746e+02
5,30,10,4.442018e+02
5,30,20,3.766452e+02
5,30,30,3.449270e+02
5,30,40,3.280599e+02
5,30,50,3.199210e+02
5,30,60,3.199210e+02
5,30,70,2.881481e+02
5,30,80,2.881481e+02
5,30,90,2.268994e+02
5,30,100,2.268994e+02
5,30,1,4.930274e+02
5,30,2,4.930274e+02
5,30,3,4.930274e+02
5,30,5,4.930274e+02
5,30,10,4.488056e+02
5,30,20,4.383121e+02
5,30,30,3.531579e+02
5,30,40,3.088893e+02
5,30,50,3.088893e+02
5,30,60,3.088893e+02
5,30,70,2.904728e+02
5,30,80,2.904728e+02
5,30,90,2.904728e+02
5,30,100,2.904728e+02
5,30,1,5.665348e+02
5,30,2,5.665348e+02
5,30,3,5.445178e+02
5,30,5,4.301873e+02
5,30,10,4.301873e+02
5,30,20,4.123096e+02
5,30,30,3.531685e+02
5,30,40,3.186553e+02
5,30,50,3.132892e+02
5,30,60,2.980585e+02
5,30,70,2.980585e+02
5,30,80,2.980585e+02
5,30,90,2.980585e+02
5,30,100,2.980585e+02
5,30,1,4.975027e+02
5,30,2,4.904185e+02
5,30,3,4.904185e+02
5,30,5,4.694751e+02
5,30,10,4.304467e+02
5,30,20,4.304467e+02
5,30,30,4.087001e+02
5,30,40,3.470386e+02
5,30,50,3.470386e+02
5,30,60,3.240420e+02
5,30,70,3.012615e+02
5,30,80,2.954615e+02
5,30,90,2.845757e+02
5,30,100,2.510299e+02
5,30,1,6.150199e+02
5,30,2,6.150199e+02
5,30,3,4.568623e+02
5,30,5,4.568623e+02
5,30,10,4.534658e+02
5,30,20,4.356704e+02
5,30,30,4.094958e+02
5,30,40,3.340171e+02
5,30,50,3.241174e+02
5,30,60,3.241174e+02
5,30,70,2.940365e+02
5,30,80,2.940365e+02
5,30,90,2.908495e+02
5,30,100,2.908495e+02
5,30,1,6.161334e+02
5,30,2,5.345185e+02
5,30,3,5.345185e+02
5,30,5,5.000184e+02
5,30,10,5.000184e+02
5,30,20,4.120400e+02
5,30,30,3.573881e+02
5,30,40,3.221365e+02
5,30,50,3.221365e+02
5,30,60,3.221365e+02
5,30,70,3.169016e+02
5,30,80,3.162495e+02
5,30,90,3.162495e+02
5,30,100,3.162495e+02
5,30,1,5.643116e+02
5,30,2,4.745698e+02
5,30,3,4.745698e+02
5,30,5,4.696996e+02
5,30,10,4.320951e+02
5,30,20,3.974456e+02
5,30,30,3.650425e+02
5,30,40,3.375829e+02
5,30,50,3.375829e+02
5,30,60,2.761718e+02
5,30,70,2.761718e+02
5,30,80,2.761718e+02
5,30,90,2.761718e+02
5,30,100,2.761718e+02
5,30,1,6.042172e+02
5,30,2,5.400887e+02
5,30,3,4.766260e+02
5,30,5,4.766260e+02
5,30,10,4.359774e+02
5,30,20,4.282243e+02
5,30,30,3.988958e+02
5,30,40,3.988958e+02
5,30,50,3.303687e+02
5,30,60,3.303687e+02
5,30,70,2.690759e+02
5,30,80,2.690759e+02
5,30,90,2.690759e+02
5,30,100,2.690759e+02
5,30,1,5.502433e+02
5,30,2,5.111190e+02
5,30,3,5.088003e+02
5,30,5,4.600620e+02
5,30,10,4.600620e+02
5,30,20,3.866932e+02
5,30,30,2.901977e+02
5,30,40,2.901977e+02
5,30,50,2.885305e+02
5,30,60,2.885305e+02
5,30,70,2.885305e+02
5,30,80,2.885305e+02
5,30,90,2.859207e+02
5,30,100,2.859207e+02
5,30,1,5.487347e+02
5,30,2,5.280286e+02
5,30,3,5.280286e+02
5,30,5,4.046502e+02
5,30,10,4.046502e+02
5,30,20,3.945695e+02
5,30,30,3.453517e+02
5,30,40,2.908260e+02
5,30,50,2.906521e+02
5,30,60,2.707276e+02
5,30,70,2.707276e+02
5,30,80,2.707276e+02
5,30,90,2.707276e+02
5,30,100,2.707276e+02
5,30,1,5.547918e+02
5,30,2,5.020221e+02
5,30,3,5.020221e+02
5,30,5,4.946746e+02
5,30,10,4.442018e+02
5,30,20,3.766452e+02
5,30,30,3.449270e+02
5,30,40,3.280599e+02
5,30,50,3.199210e+02
5,30,60,3.199210e+02
5,30,70,2.881481e+02
5,30,80,2.881481e+02
5,30,90,2.268994e+02
5,30,100,2.268994e+02
5,30,1,4.930274e+02
5,30,2,4.930274e+02
5,30,3,4.930274e+02
5,30,5,4.930274e+02
5,30,10,4.488056e+02
5,30,20,4.383121e+02
5,30,30,3.531579e+02
5,30,40,3.088893e+02
5,30,50,3.088893e+02
5,30,60,3.088893e+02
5,30,70,2.904728e+02
5,30,80,2.904728e+02
5,30,90,2.904728e+02
5,30,100,2.904728e+02
5,30,1,5.665348e+02
5,30,2,5.665348e+02
5,30,3,5.445178e+02
5,30,5,4.301873e+02
5,30,10,4.301873e+02
5,30,20,4.123096e+02
5,30,30,3.531685e+02
5,30,40,3.186553e+02
5,30,50,3.132892e+02
5,30,60,2.980585e+02
5,30,70,2.980585e+02
5,30,80,2.980585e+02
5,30,90,2.980585e+02
5,30,100,2.980585e+02
5,30,1,4.975027e+02
5,30,2,4.904185e+02
5,30,3,4.904185e+02
5,30,5,4.694751e+02
5,30,10,4.304467e+02
5,30,20,4.304467e+02
5,30,30,4.087001e+02
5,30,40,3.470386e+02
5,30,50,3.470386e+02
5,30,60,3.240420e+02
5,30,70,3.012615e+02
5,30,80,2.954615e+02
5,30,90,2.845757e+02
5,30,100,2.510299e+02
5,30,1,6.150199e+02
5,30,2,6.150199e+02
5,30,3,4.568623e+02
5,30,5,4.568623e+02
5,30,10,4.534658e+02
5,30,20,4.356704e+02
5,30,30,4.094958e+02
5,30,40,3.340171e+02
5,30,50,3.241174e+02
5,30,60,3.241174e+02
5,30,70,2.940365e+02
5,30,80,2.940365e+02
5,30,90,2.908495e+02
5,30,100,2.908495e+02
5,30,1,6.161334e+02
5,30,2,5.345185e+02
5,30,3,5.345185e+02
5,30,5,5.000184e+02
5,30,10,5.000184e+02
5,30,20,4.120400e+02
5,30,30,3.573881e+02
5,30,40,3.221365e+02
5,30,50,3.221365e+02
5,30,60,3.221365e+02
5,30,70,3.169016e+02
5,30,80,3.162495e+02
5,30,90,3.162495e+02
5,30,100,3.162495e+02
