funcid,dim,milestone,error
1,30,5,5.994130e+10
1,30,10,5.994130e+10
1,30,20,3.086628e+10
1,30,30,2.945096e+10
1,30,40,1.980549e+10
1,30,50,1.966218e+10
1,30,60,1.808581e+10
1,30,70,1.727412e+10
1,30,80,1.590386e+10
1,30,90,1.403307e+10
1,30,100,1.403307e+10
1,30,1,1.044419e+11
1,30,2,6.901303e+10
1,30,3,6.901303e+10
1,30,5,6.096391e+10
1,30,10,6.096391e+10
1,30,20,4.458072e+10
1,30,30,2.366381e+10
1,30,40,2.316831e+10
1,30,50,1.789207e+10
1,30,60,1.582695e+10
1,30,70,1.457100e+10
1,30,80,1.328390e+10
1,30,90,1.328390e+10
1,30,100,1.328390e+10
1,30,1,8.491232e+10
1,30,2,8.224342e+10
1,30,3,8.224342e+10
1,30,5,8.224342e+10
1,30,10,7.740498e+10
1,30,20,3.603108e+10
1,30,30,3.322634e+10
1,30,40,1.928398e+10
1,30,50,1.798798e+10
1,30,60,1.744951e+10
1,30,70,1.578019e+10
1,30,80,1.484557e+10
1,30,90,1.475002e+10
1,30,100,1.475002e+10
1,30,1,1.106452e+11
1,30,2,1.106452e+11
1,30,3,9.044236e+10
1,30,5,6.789081e+10
1,30,10,5.652711e+10
1,30,20,4.230349e+10
1,30,30,3.539903e+10
1,30,40,2.410556e+10
1,30,50,1.968916e+10
1,30,60,1.516193e+10
1,30,70,1.507525e+10
1,30,80,1.247131e+10
1,30,90,1.129475e+10
1,30,100,1.129475e+10
1,30,1,5.132547e+10
1,30,2,5.132547e+10
1,30,3,5.132547e+10
1,30,5,5.132547e+10
1,30,10,5.132547e+10
1,30,20,4.098856e+10
1,30,30,3.961948e+10
1,30,40,2.176981e+10
1,30,50,1.694864e+10
1,30,60,1.569493e+10
1,30,70,1.526756e+10
1,30,80,1.526386e+10
1,30,90,1.386469e+10
1,30,100,1.386469e+10
1,30,1,7.996916e+10
1,30,2,7.996916e+10
1,30,3,7.308116e+10
1,30,5,7.308116e+10
1,30,10,7.308116e+10
1,30,20,4.472038e+10
1,30,30,2.930125e+10
1,30,40,2.208984e+10
1,30,50,1.345700e+10
1,30,60,1.345700e+10
1,30,70,1.197633e+10
1,30,80,1.197633e+10
1,30,90,1.197633e+10
1,30,100,1.197633e+10
1,30,1,9.160485e+10
1,30,2,9.160485e+10
1,30,3,9.160485e+10
1,30,5,5.441670e+10
1,30,10,4.434746e+10
1,30,20,4.434746e+10
1,30,30,2.736800e+10
1,30,40,2.453482e+10
1,30,50,2.103703e+10
1,30,60,1.602564e+10
1,30,70,1.602564e+10
1,30,80,1.595661e+10
1,30,90,1.297663e+10
1,30,100,1.275802e+10
1,30,1,8.890853e+10
1,30,2,8.890853e+10
1,30,3,4.037356e+10
1,30,5,4.037356e+10
1,30,10,4.037356e+10
1,30,20,3.747553e+10
1,30,30,2.964972e+10
1,30,40,2.329428e+10
1,30,50,1.972670e+10
1,30,60,1.742583e+10
1,30,70,1.256225e+10
1,30,80,1.006119e+10
1,30,90,9.778278e+09
1,30,100,9.778278e+09
1,30,1,8.651090e+10
1,30,2,8.651090e+10
1,30,3,8.651090e+10
1,30,5,7.103062e+10
1,30,10,6.957799e+10
1,30,20,4.074681e+10
1,30,30,4.014053e+10
1,30,40,2.663630e+10
1,30,50,2.025680e+10
1,30,60,1.481199e+10
1,30,70,1.368902e+10
1,30,80,1.014263e+10
1,30,90,8.716805e+09
1,30,100,8.716805e+09
1,30,1,6.797823e+10
1,30,2,6.797823e+10
1,30,3,6.797823e+10
1,30,5,6.797823e+10
1,30,10,4.978241e+10
1,30,20,4.121043e+10
1,30,30,2.689450e+10
1,30,40,2.450478e+10
1,30,50,1.562127e+10
1,30,60,1.432830e+10
1,30,70,1.202047e+10
1,30,80,1.151169e+10
1,30,90,9.852115e+09
1,30,100,9.852115e+09
1,30,1,8.822377e+10
1,30,2,7.875662e+10
1,30,3,6.886488e+10
1,30,5,5.994130e+10
1,30,10,5.994130e+10
1,30,20,3.086628e+10
1,30,30,2.945096e+10
1,30,40,1.980549e+10
1,30,50,1.966218e+10
1,30,60,1.808581e+10
1,30,70,1.727412e+10
1,30,80,1.590386e+10
1,30,90,1.403307e+10
1,30,100,1.403307e+10
1,30,1,1.044419e+11
1,30,2,6.901303e+10
1,30,3,6.901303e+10
1,30,5,6.096391e+10
1,30,10,6.096391e+10
1,30,20,4.458072e+10
1,30,30,2.366381e+10
1,30,40,2.316831e+10
1,30,50,1.789207e+10
1,30,60,1.582695e+10
1,30,70,1.457100e+10
1,30,80,1.328390e+10
1,30,90,1.328390e+10
1,30,100,1.328390e+10
1,30,1,8.491232e+10
1,30,2,8.224342e+10
1,30,3,8.224342e+10
1,30,5,8.224342e+10
1,30,10,7.740498e+10
1,30,20,3.603108e+10
1,30,30,3.322634e+10
1,30,40,1.928398e+10
1,30,50,1.798798e+10
1,30,60,1.744951e+10
1,30,70,1.578019e+10
1,30,80,1.484557e+10
1,30,90,1.475002e+10
1,30,100,1.475002e+10
1,30,1,1.106452e+11
1,30,2,1.106452e+11
1,30,3,9.044236e+10
1,30,5,6.789081e+10
1,30,10,5.652711e+10
1,30,20,4.230349e+10
1,30,30,3.539903e+10
1,30,40,2.410556e+10
1,30,50,1.968916e+10
1,30,60,1.516193e+10
1,30,70,1.507525e+10
1,30,80,1.247131e+10
1,30,90,1.129475e+10
1,30,100,1.129475e+10
